GSM4887997	GR03_V6
GSM4887998	GR02_V7
GSM4887999	GR01_V5
GSM4888000	GR07_V4
GSM4888001	GR03_V5
GSM4888002	GR02_V6
GSM4888003	GR05_V3
GSM4888004	GR06_V3
GSM4888005	GR01_V4
GSM4888006	GR03_V3
GSM4888007	GR07_V7
GSM4888008	GR02_V5
GSM4888009	GR06_V6
GSM4888010	GR01_V6
GSM4888011	GR06_V4
GSM4888012	GR05_V5
GSM4888013	GR07_V3
GSM4888014	GR07_V6
GSM4888015	GR03_V4
GSM4888016	GR01_V7
GSM4888017	GR05_V7
GSM4888018	GR05_V4
GSM4888019	GR06_V5
GSM4888020	GR05_V6
GSM4888021	GR02_V3
GSM4888022	GR06_V7
GSM4888023	GR02_V4
GSM4888024	GR07_V5
GSM4888025	GR03_V7
GSM4888026	GR01_V3
GSM4888027	GR18_V4
GSM4888028	GR11_V7
GSM4888029	GR09_V6
GSM4888030	GR17_V7
GSM4888031	GR04_V5
GSM4888032	GR09_V5
GSM4888033	GR13_V4
GSM4888034	GR10_V6
GSM4888035	GR13_V5
GSM4888036	GR18_V5
GSM4888037	GR11_V5
GSM4888038	GR19_V3
GSM4888039	GR18_V7
GSM4888040	GR10_V5
GSM4888041	GR04_V6
GSM4888042	GR13_V3
GSM4888043	GR15_V6
GSM4888044	GR04_V4
GSM4888045	GR10_V3
GSM4888046	GR10_V7
GSM4888047	GR19_V5
GSM4888048	GR15_V3
GSM4888049	GR15_V5
GSM4888050	GR09_V3
GSM4888051	GR09_V4
GSM4888052	GR19_V7
GSM4888053	GR17_V5
GSM4888054	GR15_V4
GSM4888055	GR09_V7
GSM4888056	GR11_V6
GSM4888057	GR13_V6
GSM4888058	GR04_V7
GSM4888059	GR11_V3
GSM4888060	GR11_V4
GSM4888061	GR15_V7
GSM4888062	GR17_V3
GSM4888063	GR18_V3
GSM4888064	GR19_V6
GSM4888065	GR10_V4
GSM4888066	GR17_V6
GSM4888067	GR19_V4
GSM4888068	GR13_V7
GSM4888069	GR18_V6
GSM4888070	GR04_V3
GSM4888071	GR17_V4
